	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	844.30, 0	855.01, 0	865.69, 0	876.12, 0	886.84, 4	898.95, 5	909.66, 5	920.04, 5	929.76, 5	938.54, 5	946.26, 5	952.93, 5	958.68, 5	963.63, 5	967.89, 5	971.55, 5	974.66, 5	977.29, 5	979.47, 5	981.25, 5	982.66, 5	
1	858.56, 0	869.38, 0	880.49, 0	891.61, 0	902.24, 4	913.39, 5	924.18, 5	934.56, 5	944.17, 5	952.72, 5	960.09, 5	966.34, 5	971.61, 5	976.07, 5	979.85, 5	983.04, 5	985.73, 5	987.97, 5	989.79, 5	991.26, 5	992.40, 5	
2	878.62, 0	889.51, 0	900.86, 0	912.38, 0	923.21, 0	932.71, 0	941.56, 1	949.43, 2	957.48, 5	965.80, 5	972.84, 5	978.68, 5	983.51, 5	987.50, 5	990.83, 5	993.59, 5	995.88, 5	997.75, 5	999.25, 5	1000.43, 5	1001.31, 5	
3	901.16, -1	911.84, -1	922.70, 0	934.12, 0	944.79, 0	954.07, 0	961.94, 0	968.67, 0	974.55, 0	979.71, 0	984.39, 5	989.86, 5	994.28, 5	997.86, 5	1000.78, 5	1003.16, 5	1005.09, 5	1006.63, 5	1007.84, 5	1008.74, 5	1009.39, 5	
4	924.41, -2	934.55, -2	944.34, -2	954.27, -1	963.46, -1	972.11, 0	979.58, 0	985.90, 0	991.35, 0	996.09, 0	1000.21, 0	1003.77, 0	1006.81, 0	1009.38, 0	1011.51, 0	1013.25, 0	1014.63, 0	1015.71, 0	1016.51, 0	1017.09, 0	1017.16, 0	
5	944.28, -3	953.80, -2	963.35, -2	972.15, -2	980.21, -1	987.73, -1	994.17, 0	1000.04, 0	1005.02, 0	1009.29, 0	1012.97, 0	1016.11, 0	1018.77, 0	1020.99, 0	1022.82, 0	1024.29, 0	1025.44, 0	1026.31, 0	1026.95, 0	1027.38, 0	1027.34, 0	
6	960.90, -3	970.14, -3	979.01, -2	987.47, -2	994.88, -2	1001.59, -1	1007.52, -1	1012.53, -1	1016.90, 0	1020.70, 0	1023.93, 0	1026.66, 0	1028.94, 0	1030.82, 0	1032.34, 0	1033.53, 0	1034.45, 0	1035.11, 0	1035.56, 0	1035.85, 0	1035.69, 0	
7	975.58, -3	984.63, -3	993.06, -2	1001.18, -2	1008.18, -2	1014.13, -1	1019.59, -1	1024.14, -1	1027.97, -1	1031.22, -1	1033.96, -1	1036.26, -1	1038.16, -1	1039.71, 0	1040.94, 0	1041.88, 0	1042.56, 0	1043.03, 0	1043.30, 0	1043.44, 0	1043.16, 0	
8	989.46, -3	998.29, -3	1006.16, -2	1013.94, -2	1020.52, -2	1025.99, -2	1030.74, -1	1034.83, -1	1038.23, -1	1041.06, -1	1043.42, -1	1045.36, -1	1046.94, -1	1048.19, -1	1049.15, -1	1049.85, -1	1050.34, -1	1050.63, -1	1050.79, -1	1050.52, -1	1050.09, 0	
9	1002.67, -3	1011.27, -3	1018.79, -3	1025.84, -2	1032.03, -2	1037.06, -2	1041.18, -2	1044.75, -1	1047.74, -1	1050.20, -1	1052.20, -1	1053.83, -1	1055.11, -1	1056.10, -1	1056.83, -1	1057.33, -1	1057.63, -1	1057.76, -1	1057.79, -1	1057.40, -1	1056.59, 0	
