	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	164.14, 0	174.45, 0	185.01, 0	195.37, 0	205.27, 0	214.67, 0	224.04, 5	233.94, 5	243.65, 5	253.02, 5	261.93, 5	270.28, 5	278.03, 5	285.17, 5	291.71, 5	297.69, 5	303.14, 5	308.09, 5	312.56, 5	316.57, 5	320.15, 5	
1	176.69, 0	187.60, 0	199.26, 0	210.54, 0	220.89, 0	230.43, 0	239.33, 0	248.05, 1	257.12, 5	266.36, 5	275.08, 5	283.21, 5	290.71, 5	297.58, 5	303.86, 5	309.57, 5	314.76, 5	319.44, 5	323.66, 5	327.43, 5	330.77, 5	
2	193.43, 0	204.71, 0	217.02, 0	228.84, 0	239.43, 0	249.02, 0	257.89, 0	266.18, 0	273.90, 0	281.35, 1	288.39, 1	295.34, 5	302.58, 5	309.20, 5	315.21, 5	320.66, 5	325.58, 5	330.01, 5	333.97, 5	337.50, 5	340.60, 5	
3	211.52, 0	222.76, 0	235.01, 0	246.75, 0	257.26, 0	266.77, 0	275.57, 0	283.77, 0	291.41, 0	298.51, 0	305.10, 0	311.22, 0	316.89, 0	322.13, 0	326.95, 0	331.37, 0	335.57, 5	339.75, 5	343.48, 5	346.77, 5	349.64, 5	
4	229.00, -2	239.80, -1	251.33, -1	262.32, 0	272.65, 0	282.02, 0	290.69, 0	298.76, 0	306.27, 0	313.24, 0	319.69, 0	325.66, 0	331.18, 0	336.26, 0	340.92, 0	345.17, 0	349.02, 0	352.48, 0	355.54, 0	358.20, 0	360.43, 0	
5	245.10, -2	255.54, -2	266.06, -2	276.64, -1	286.23, -1	295.40, 0	303.90, 0	311.79, 0	319.11, 0	325.88, 0	332.14, 0	337.91, 0	343.21, 0	348.08, 0	352.52, 0	356.56, 0	360.20, 0	363.45, 0	366.31, 0	368.78, 0	370.83, 0	
6	259.04, -2	269.35, -2	279.67, -2	289.71, -1	299.14, -1	307.75, -1	316.03, 0	323.71, 0	330.81, 0	337.36, 0	343.39, 0	348.93, 0	354.00, 0	358.64, 0	362.84, 0	366.65, 0	370.05, 0	373.08, 0	375.71, 0	377.97, 0	379.82, 0	
7	272.03, -3	282.23, -2	292.40, -2	302.03, -1	311.28, -1	319.70, -1	327.46, 0	334.90, 0	341.77, 0	348.08, 0	353.87, 0	359.18, 0	364.02, 0	368.41, 0	372.39, 0	375.96, 0	379.14, 0	381.93, 0	384.35, 0	386.39, 0	388.04, 0	
8	284.63, -3	294.55, -2	304.59, -2	313.93, -2	322.82, -1	331.02, -1	338.55, -1	345.49, -1	352.10, 0	358.16, 0	363.72, 0	368.78, 0	373.40, 0	377.57, 0	381.32, 0	384.67, 0	387.62, 0	390.20, 0	392.40, 0	394.23, 0	395.70, 0	
9	296.84, -3	306.41, -3	316.23, -2	325.39, -2	333.77, -1	341.75, -1	349.05, -1	355.75, -1	361.91, -1	367.69, 0	372.99, 0	377.82, 0	382.21, 0	386.15, 0	389.69, 0	392.82, 0	395.57, 0	397.94, 0	399.93, 0	401.56, 0	402.84, 0	
10	308.54, -3	317.99, -3	327.29, -2	336.27, -2	344.37, -2	351.94, -1	359.00, -1	365.45, -1	371.36, -1	376.77, -1	381.77, 0	386.36, 0	390.51, 0	394.24, 0	397.56, 0	400.49, 0	403.03, 0	405.20, 0	407.00, 0	408.44, 0	409.55, 0	
11	319.68, -3	329.00, -3	337.84, -3	346.61, -2	354.50, -2	361.64, -2	368.44, -1	374.65, -1	380.32, -1	385.49, -1	390.20, -1	394.46, 0	398.39, 0	401.89, 0	405.00, 0	407.73, 0	410.07, 0	412.05, 0	413.67, 0	414.94, 0	415.90, 0	
12	330.26, -3	339.47, -3	348.14, -3	356.45, -2	364.13, -2	371.04, -2	377.45, -1	383.41, -1	388.84, -1	393.77, -1	398.24, -1	402.28, -1	405.91, -1	409.19, 0	412.10, 0	414.63, 0	416.79, 0	418.59, 0	420.05, 0	421.17, 0	422.00, 0	
13	340.34, -3	349.43, -3	357.94, -3	365.83, -2	373.31, -2	380.00, -2	386.05, -2	391.77, -1	396.97, -1	401.67, -1	405.92, -1	409.74, -1	413.17, -1	416.21, -1	418.93, 0	421.29, 0	423.29, 0	424.94, 0	426.26, 0	427.27, 0	428.00, 0	
