	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	0.00, 5	9.82, 0	19.01, 0	26.84, 0	34.55, 1	40.63, 2	46.42, 2	50.29, 2	53.87, 3	56.15, 3	57.39, 3	58.56, 4	59.15, 4	59.43, 4	59.56, 4	59.63, 4	59.67, 4	59.70, 4	59.72, 4	59.73, 4	59.73, 4	
1	10.27, 0	20.27, 0	30.05, 0	38.64, 0	45.19, 0	51.51, 1	55.89, 1	58.95, 2	61.65, 2	63.30, 2	64.30, 2	64.94, 2	65.35, 2	65.63, 2	65.83, 2	65.96, 2	66.05, 2	66.11, 2	66.15, 2	66.17, 2	66.19, 2	
2	21.86, -1	31.83, 0	42.48, 0	52.12, 0	59.62, 0	64.96, 0	68.68, 0	71.29, 0	73.42, 1	75.03, 1	76.16, 1	76.96, 1	77.54, 1	77.95, 1	78.24, 1	78.45, 1	78.60, 1	78.70, 1	78.77, 1	78.81, 1	78.85, 1	
3	37.46, -2	47.18, -1	57.40, -1	66.10, -1	73.37, 0	79.28, 0	83.57, 0	86.73, 0	89.07, 0	90.81, 0	92.10, 0	93.05, 0	93.76, 0	94.27, 0	94.63, 0	94.90, 0	95.08, 0	95.21, 0	95.31, 0	95.37, 0	95.42, 0	
4	55.68, -3	65.14, -2	74.19, -2	81.58, -2	88.31, -1	93.41, -1	97.26, -1	100.19, -1	102.43, -1	104.13, -1	105.41, -1	106.35, -1	107.05, -1	107.56, -1	107.92, -1	108.19, -1	108.37, -1	108.51, -1	108.60, -1	108.67, -1	108.02, 0	
5	74.38, -3	82.85, -3	90.40, -3	97.29, -2	103.04, -2	107.41, -2	110.77, -2	113.36, -2	115.35, -2	116.84, -2	117.96, -2	118.78, -2	119.38, -2	119.92, -1	120.31, -1	120.59, -1	120.80, -1	120.94, -1	121.04, -1	121.10, -1	116.61, 0	
6	90.17, -4	97.56, -3	105.11, -3	111.21, -3	115.94, -3	119.59, -3	122.75, -2	125.30, -2	127.26, -2	128.74, -2	129.86, -2	130.70, -2	131.32, -2	131.77, -2	132.10, -2	132.32, -2	132.46, -2	132.53, -2	132.51, -2	130.08, -1	123.14, 0	
7	103.58, -4	110.79, -4	117.08, -3	123.06, -3	127.66, -3	131.21, -3	133.96, -3	136.07, -3	137.68, -3	138.89, -3	139.79, -3	140.46, -3	140.95, -3	141.34, -2	141.65, -2	141.84, -2	141.91, -2	141.85, -2	141.66, -2	137.33, -1	128.56, 0	
8	115.49, -4	122.57, -4	128.53, -4	133.79, -3	138.20, -3	141.57, -3	144.17, -3	146.17, -3	147.70, -3	148.86, -3	149.72, -3	150.36, -3	150.83, -3	151.14, -3	151.31, -3	151.31, -3	151.12, -3	150.74, -3	149.48, -2	143.60, -1	133.27, 0	
9	126.96, -4	133.86, -4	139.61, -4	144.14, -4	148.17, -3	151.34, -3	153.77, -3	155.64, -3	157.07, -3	158.15, -3	158.96, -3	159.56, -3	159.98, -3	160.24, -3	160.31, -3	160.14, -3	159.70, -3	158.99, -3	156.40, -2	149.12, -1	137.42, 0	
10	138.09, -4	144.79, -4	150.31, -4	154.61, -4	157.90, -4	160.58, -3	162.84, -3	164.57, -3	165.89, -3	166.89, -3	167.64, -3	168.18, -3	168.54, -3	168.70, -3	168.63, -3	168.24, -3	167.48, -3	166.36, -3	162.52, -2	154.01, -1	141.09, 0	
11	148.72, -4	155.21, -4	160.50, -4	164.56, -4	167.64, -4	169.99, -4	171.79, -4	173.16, -4	174.20, -4	175.08, -3	175.76, -3	176.22, -3	176.49, -3	176.54, -3	176.28, -3	175.63, -3	174.49, -3	172.90, -3	167.95, -2	158.35, -1	144.37, 0	
12	159.03, -5	165.04, -4	170.11, -4	173.95, -4	176.81, -4	178.98, -4	180.63, -4	181.89, -4	182.84, -4	183.52, -4	183.99, -4	184.23, -4	184.22, -4	183.86, -4	183.31, -3	182.34, -3	180.78, -3	178.70, -3	172.78, -2	162.23, -1	147.31, 0	
13	169.19, -5	174.30, -4	179.18, -4	182.80, -4	185.47, -4	187.46, -4	188.97, -4	190.10, -4	190.95, -4	191.54, -4	191.90, -4	192.02, -4	191.83, -4	191.23, -4	190.06, -4	188.44, -3	186.45, -3	183.87, -3	177.10, -2	165.71, -1	149.95, 0	
14	178.76, -5	183.42, -5	187.75, -4	191.19, -4	193.66, -4	195.49, -4	196.85, -4	197.87, -4	198.60, -4	199.07, -4	199.31, -4	199.27, -4	198.88, -4	198.00, -4	196.45, -4	194.16, -4	191.57, -3	188.49, -3	180.97, -2	168.85, -1	152.33, 0	
15	187.80, -5	192.26, -5	195.90, -4	199.16, -4	201.47, -4	203.13, -4	204.36, -4	205.24, -4	205.85, -4	206.19, -4	206.28, -4	206.05, -4	205.42, -4	204.22, -4	202.28, -4	199.51, -4	196.21, -3	192.65, -3	184.47, -2	171.68, -1	154.49, 0	
